"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","COMM_DELIVERY_AMOUNT","SELF_DELIVERY_AMOUNT","LOCK_AMOUNT","SELF_LOCK_AMOUNT","COMM_LOCK_AMOUNT","ORG_DELIVERY_DATE","PRE_DELIVERY_DATE","VER_DELIVERY_DATE","PERIOD","RLT_ORDER_PO_NO","VENDOR_CODE","STATE","ACTIVE_STATE","RLT_SEND_PO_NO","DELIVERY_HOUSE_TYPE","SETTLEMENT_TYPE","STAFF_ID","STAFF_NAME","SALES_ID","SALES","CONTACT_FEE","C_PRICE_TAX","ORDERAMOUNT"
104,"GC0006","喜恩碧","0","PO1005-079","LC004R7DM2","ELJPA4R7MF-G","3225 4.7UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,4000,842.6948,0,0,0,0,0,0,"2010-06-25",NULL,NULL,"201008","P10031222","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,4000
105,"GC0006","喜恩碧","0","PO1006-074","LC004R7DM2","ELJPA4R7MF-G","3225 4.7UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,20000,4213.4742,0,0,0,0,0,0,"2010-07-10",NULL,NULL,"201008","P10031222","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,20000
106,"GC0016","飞歌汽车音响","0","FA-PO-20100709003","DZ03V0025R0","GCRH5D28-100M","5D28 10UH",0.65,"1",0.17,"",NULL,20000,13000,0,0,0,0,0,0,"2010-09-05",NULL,NULL,"201008","P10031251RVE.01","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,20000
107,"GC0115","科翔","0","100707002","ELJFC100KF","ELJFC100KF-G","2520 10UH +/-10%",0.01932,"0",0,"",NULL,14000,270.48,0,0,0,0,0,0,"2010-08-28",NULL,NULL,"201008","P10031266","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0,14000
108,"GC0085","创达盛","0","GH20100126","ELJPA100KF","ELJPA100KF-G","3225 10UH +/-10% 低内阻",0.17,"0",0,"",NULL,190000,32300,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031266","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","10","邱永池",0,0,190000
109,"GC0006","喜恩碧","0","PO1006-201","LC00010CK1","ELJFC100KF-G","2520 10UH +/-10%",0.21067371,"1",0.17,"",NULL,28000,5898.8639,0,0,0,0,0,0,"2010-08-05",NULL,NULL,"201008","P10031266","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,28000
110,"GC0006","喜恩碧","0","PO1007-044","LC00010CK1","ELJFC100KF-G","2520 10UH +/-10%",0.21067371,"1",0.17,"",NULL,308000,64887.5027,0,0,0,0,0,0,"2010-08-22",NULL,NULL,"201008","P10031266","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,308000
111,"GC0084","维宝视","0","GH20100161","63B-101M","GCRH63B-101M","63B 100UH +/-20%",0.6,"0",0,"",NULL,2000,1200,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031495","GV0006","20","ACTIVE",NULL,"1","1","8","谢冰冰","10","邱永池",0,0,2000
112,"GC0016","飞歌汽车音响","0","FA-PO-20100521051","DZ03V0033R0","GCRH5D28-470NC","5D28 47UH +/-25%",0.65,"1",0.17,"",NULL,30000,19500,0,0,0,0,0,0,"2010-11-02",NULL,NULL,"201008","P10031599","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,30000
113,"GC0062","宏泰安达","0","GH20100209","GCRH4D28-151NC","GCRH4D28-151NC","4D28 150UH +/-25% 240MA",0.6,"0",0,"",NULL,8000,4800,0,0,0,0,0,0,"2010-08-09",NULL,NULL,"201008","P10031695RVE.01","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","6","蒋忠旭",0,0,8000
