"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
181,"GV0003","华龙东光","0","P10032375","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,48000,1344,0,"201008","2010-03-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
182,"GV0003","华龙东光","0","P10032375","LL1608-FSL10NJ","LL1608-FSL10NJ","TOKO",0.0084,"0",0,"",NULL,140000,1176,0,"201008","2010-12-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
183,"GV0003","华龙东光","0","P10032375","LL1608-FSL10NJ","LL1608-FSL10NJ","TOKO",0.0084,"0",0,"",NULL,140000,1176,0,"201008","2011-01-03",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
184,"GV0003","华龙东光","0","P10032375","LL1608-FSL10NJ","LL1608-FSL10NJ","TOKO",0.0084,"0",0,"",NULL,120000,1008,0,"201008","2011-02-09",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
185,"GV0003","华龙东光","0","P10032375","LL1608-FSL10NJ","LL1608-FSL10NJ","TOKO",0.0084,"0",0,"",NULL,100000,840,0,"201008","2011-03-01",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
186,"GV0005","今凯","0","P10032381","CKRH104R-470NC","GCRH104R-470NC","47UH 要求参数与SUMIDA料号：CDRH104RNP-470NC完全相同，特别是DCR，500PCS/R",0.68,"1",0.17,"",NULL,10000,6800,0,"201008","2010-08-10",NULL,"GR-GD1006D","04","ACTIVE",NULL,"8","谢冰冰","1","GC0122",0.17,NULL
187,"GV0027","奇力新","0","P10032395RVE.01","SCDS6D38T-100M-S-N","SCDS6D38T-100M-S-N","CHILISIN INDUCTOR 10UH,2.A,38 MILLIOHM",0.72,"0",0,"可确定明细",NULL,14000,10080,0,"201008","2010-09-15",NULL,"AEL201009009-1462-04","04","ACTIVE",NULL,"8","谢冰冰","2","GC0104",0,NULL
188,"GV0005","今凯","0","P10032412","CKRH7032-100M","GSLF7032T-100M","7032 10UH +/-20%",0.629,"1",0.17,"",NULL,1000,629,0,"201008","2010-08-10",NULL,"B1005003","04","ACTIVE",NULL,"8","谢冰冰","1","GC0019",0.17,NULL
189,"GV0005","今凯","0","P10032412","CKRH7032-100M","GSLF7032T-100M","7032 10UH +/-20%",0.629,"1",0.17,"",NULL,5000,3145,0,"201008","2010-08-15",NULL,"B1007032","04","ACTIVE",NULL,"8","谢冰冰","1","GC0019",0.17,NULL
190,"GV0006","海瑞达","0","P10032425","HSMRH104R-100M","GCRH104R-100M","104R 10UH 2A +/-20%",0.5,"1",0.17,"",NULL,1000,500,0,"201008","2010-08-15",NULL,"B1007032","04","ACTIVE",NULL,"8","谢冰冰","1","GC0019",0.17,NULL
191,"GV0011","高雅","0","P10032433","CCFH0603CR33J","LLQ1608-FR33J","0603绕线电感 330NH 5% 电气性能、包装及编带和TOKO P/N:LLQ1608-FR33J一致",0.025,"0",0,"",NULL,140000,3500,0,"201008","2010-08-02",NULL,"1007088","04","ACTIVE",NULL,"8","谢冰冰","3","GC0013",0,NULL
